Question,Answer
"What happens, if I have an active Xtravalue Bundle and I call a country not listed in the eligible destinations?","If you have an active Xtravalue bundle plan and you call any destination not in the eligible destinations, your calls/SMS/data will be charged first from a Roaming bundle account (if available) otherwise from your main account and at standard roaming rate."
"If I have an active Xtravalue bundle balance while roaming, will I be able to use the bundle balance when I return to Nigeria?","Yes, you will be able to use the remaining bundle balance when you return to Nigeria, and you will be charged at the applicable local rates."
"If I have an active Xtravalue bundle and a roaming bundle while roaming, which account will deplete first?",Your calls/SMS/data will be charged in this order:XtraValue bundle -> Roaming bundle account -> Main account.
What is the Virtual Recharge Bonus?,"This is a recharge offer that gives customer 50% bonus on all recharges made via eligible virtual recharge channels. The 50% bonus is split into two ‚Äì30% airtime bonus.20% data bonus on recharge below N10,000. However, a recharge above N10,000 will ONLY get a flat amount of N2000 as data bonus."
Who can enjoy the 50% Virtual Recharge Bonus?,All MTN Prepaid and Postpaid customers can enjoy the Virtual recharge bonus.
What should I do to get the 50% virtual recharge bonus?,You can get the 50% virtual recharge bonus when you recharge via the eligible recharge channels listed below:1. MTN OnDemand (*904#)Bank Account optionDebit Card option2. myMTN NG app.Airtime recharge option ONLY.
How long will I be able to use the 50% bonus on virtual recharge?,The 50% virtual recharge bonus will be valid for 7 days BUT unused bonus will be cleared after 7days.
Will I be able to share my 50% virtual recharge bonus?,No. The 50% virtual recharge bonus can‚Äôt be shared/transferred to another line.
"If I have airtime balance on my line and I get 30% airtime bonus on virtual recharge, which of my balances will be charged first?","When you make calls, your 30% airtime bonus on virtual recharge will be charged first until it is exhausted after which call charges will now be from your main balance or any other balance on your line.Note: Some tariff plans like Pulse and XtraSpecial get charged from their main account for the first minute call of the day after which subsequent minutes will be charged from their 30% airtime bonus on virtual recharge or other balances, while other plans like Betatalk and YafunYafun get charged from their main account for the first and fifth minute call of the day after which subsequent minutes will be charged from their 30% airtime bonus on virtual recharge or other balances.Pulse and XtraspecialFirst minute: Main Account.Subsequent minutes: 30% airtime Bonus -> Other Airtime Bonus -> Main Account.Betatalk and YafunYafunFirst minute: Main Account.Second to fourth minute: 30% airtime bonus -> Betatalk/YafunYafun recharge bonus -> other bonuses.Fifth minute: Main AccountSubsequent minutes: 30% airtime bonus -> Betatalk/YafunYafun recharge bonus -> other bonuses."
Will I get 50% virtual recharge bonus when I receive or send airtime via MTN Share?,No. You will not get the 50% virtual recharge bonus when you receive or send airtime via MTN Share.
What activities can I perform with the 50% virtual recharge bonus?,"You will be able to make local calls, send SMS and browse any website or app with the 30% airtime bonus and browse with the 20% data bonus on virtual recharge."
How much will I be charged when using the 50% virtual recharge bonus?,The table below contains the rate you will be charged from the 50% virtual recharge bonus.¬†30% airtime bonus on virtual recharge20% data bonus on virtual rechargeLocal Calls50k/sec (N30/min)N/ALocal SMSN4/SMSN/ALocal DataN15/MBN1/MB
When will I be able to use the 50% virtual recharge bonus?,You will be able to use the 50% virtual recharge bonus at any time of the day.
How many times can I get the 50% virtual recharge bonus?,You will receive the 50% virtual recharge bonus for every recharge you make via the eligible channels.
What is MTN eShop?,"MTN eShop is an online platform that brings convenience to our customers. It enables our customers browse and purchase from a wide range of products and services with ease in the comfort of their homes or at a click of a button. This products and services include smartphones, broadband routers, airtime, data bundles, etc. It enables a secure, convenient, and hassle-free experience for our customers which is our goal."
What items can be gotten from the eShop?,"Products and services such as Data bundle purchase, Purchase of variety of devices; Smartphones, MTN 5G Broadband Router, MTN 4G Broadband Router, 4G MiFi, Enterprise services, Airtime Recharge, Bulk SMS etc."
How can one have access to the eShop?,You can access MTN eShop from any internet enabled device by either visiting the shop via MTN‚Äôs corporate website https://mtn.ng/ OR shop directly via this link https://shop.mtn.ng/
How do I log in,"You can log in on MTN eShop by following the next steps: 1. Click on the profile icon¬†at the right of your screen. 2. Select your preferred login method (Facebook, Google account, Email or Phone number) and follow the prompt 3. You can now log in! Note: The phone number option is only available to MTN lines."
How do I register,"You can create an account by following the next steps: 1. Click on profile icon at the right of your screen. 2. Select your preferred sign up method (Facebook, Google account, Email, Phone number) and follow the prompt 3. Your MTN eShop account is now created! Note: The phone number option is only available to MTN lines."
How do I place an order on MTN eShop?,To place an order on MTN eShop: 1. Enter the name of the item you‚Äôd like to buy in the search bar. You can also browse for products by hovering or selecting ‚ÄúShop‚Äù on the top left-hand side of your screen 2. Select the product/plan to learn more about it 3. Click ‚ÄúAdd to cart‚Äù if you want to want to keep browsing for more products or click ‚ÄúBuy Now‚Äù to proceed to the checkout page 4. Register or login into your existing account by using the various log in options available to you 5. Enter your shipping/billing information ensuring your address is complete and accurate 6. Select a Delivery Method (This step is applicable for devices) 7. Choose your preferred Payment Method 8. Click on Order to complete your order.
I want to reset my password linked to my email address. What do I do?,You can reset your password by following these steps:1. On the login page click on¬†Don‚Äôt remember your password 2. Enter your email address3. A password reset link will be sent to the email address you provided4. Click on the reset link sent to your email address5. Enter your new password and submit6. Use your new password for subsequent logins
I am having trouble adding products to my cart. What do I do?,"If you are having trouble adding a product to your cart, it may mean the following:‚Ä¢ If it is a device, please ensure that you have made all relevant size and color selections. It could also mean that the item you are trying to buy is sold out.‚Ä¢ If it is a data plan or digital service, it may mean that the number you are buying the bundle for is not eligible for this service.¬†For additional information, you can contact our customer support team via email at customercareng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network."
How can I change the phone number on my account?,"You can change your phone number on your account by following these steps: 1. Sign in to your account 2. Click on your name and select ‚ÄúMy account‚Äù¬† 3. Under personal information, click on Edit 4. In the mobile number section, click on the input box to edit your phone number 5. You will receive an OTP through SMS on the new phone number 6. Enter the OTP in the box 7. The phone number is now changed!"
Are prices on eShop negotiable?,No. Prices on MTN eShop are not negotiable. You may opt to use a promotional voucher for an added discount if available and usage conditions are met. Please keep an eye on our social media updates to be informed about our campaigns and flash sales for best prices.
Is there an option for pick-up or delivery?,"There are options for delivery or pick up during the checkout process. For delivery, ordered items will be delivered to your address while for pick-up options, you will be able to pick up your items at an MTN Store close to you. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
What are the payment methods used in the eShop?,"eShop has a variety of payment channels which includes Debit cards, Bank transfers, USSD, NQR, MoMo, and Airtime (for bundles)"
Can I make corporate or bulk purchases?,"Yes, you can make a corporate purchase by going to the enterprise services option on the eShop homepage. And you can also add items to cart for bulk purchases."
What are your privacy policies?,"We respect the privacy of our Customers‚Äô Information which should be protected through the use and interaction with https://shop.mtn.ng/, https://mtn.ng/ and all associated websites, mobile applications, products, and services. Go to Privacy and Cookie Policy | Shop MTN Nigeria to see the type of Personal Information we collect from You, Our Customers, and/or Users; how We will treat that Personal Information; and the circumstances under which We will share it with third parties"
Can I drop a review or give feedback on a product or service?,"We value customer reviews and feedback, and that feature will be activated on the eShop soon"
How do I contact customer services?,You can contact our customer services via email at customercare.ng@mtn.com or dial 300 from an MTN line or 08031000300 from any other network for all inquiries.
Do you offer discounts or promotions?,Discounts or promotions will be announced on the eShop when or if any is available
"I am having trouble signing into eShop, what should I do?","If you have a problem signing up on eShop, please contact customer service via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 for all inquiries."
How do I check the status of my order?,"To check the status of your order, simply login to your account and navigate to the My Account section on your profile and select My orders"
"If I receive damaged or defective products, what should I do?","You are allowed to return such defective devices, and after a few investigations, the device will be replaced"
Can I pay on delivery?,"Currently, we do not offer payment on delivery as a payment option. We require all payments to be made through our secure platform before any services are rendered or products are shipped"
"My payment was not successful, but my account got debited, what do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
What currencies do you accept?,Payments on eShop are in NGN (Naira)
Do you offer installment payments?,No. It is expected that you pay for your product in full.
Can I change or cancel my order?,"No. Once an order is placed and payment has been made, you will be unable to make any cancellations. Please review your order thoroughly before finalizing it to ensure that it aligns with your requirements."
"I placed an order, but never received a confirmation email, what do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
How soon can I pick up my order from your store?,Your orders will be ready for pick up after a period of 24 hours.
What happens if my package is lost or stolen?,Please send an email to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation.
How can I track my order?,"To track your order, simply log in to your account and navigate to the My Account section on your profile and select My orders, there you will be able to see the status of your order whether active, pending, completed or canceled orders. To see more details on your order, click ‚Äòview order details. You also receive status updates via email and SMS notifications to keep you easily updated. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or  08031000300 from any other network for all inquiries."
"My tracking shows delivered, but I never received it. What do I do?",Please send the proof of payment to eShopsupport.ng@mtn.com so that we can investigate and rectify the situation
What is the duration of delivery?,"Delivery usually takes between 2 - 8 working days (including Saturdays), to get your product delivered to you, depending on your location and the availability of the product. When you place an order on eShop, you will receive an estimated delivery date for your order. Please click here for more information on delivery timelines."
Which locations do you deliver to?,"Delivery is available in 33 states, except for Benue, Katsina, Taraba and Zamfara."
What happens when I don't find my city?,You may re-route your delivery to a city closest to your location or use the pick-up option to pick up from selected MTN Service Centers.
What will happen if I am not at home/office?,"Your delivery will be re-scheduled if you are not available to receive your order. However, re-scheduling can only be done twice."
Do you offer international shipping?,No. Only nationwide delivery is available for now.
Can I change or update my shipping address?,It is not possible to change the delivery address once the payment has been processed. It is important to double-check all your information before submitting your order to ensure that it is accurate and up to date.
Do you offer free shipping?,"No, the cost of delivery will be handled by the purchaser irrespective of the amount of product bought."
Is there a refund policy?,"Yes. Please refer to our return policy for more information on our warranty terms and conditions. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
How can I return my faulty device?,You can log a complaint about your damaged device on our Faulty Device portal OR visit any of the MTN Service Centers listed here to return any defective product.
What's the warranty on my device?,"Our broadband devices come with a one-year warranty. If your device is found to be defective within the warranty period, we will repair or replace it (as applicable) free of charge. Log a complaint about your damaged device on our Faulty Device portal. Please keep in mind that the warranty does not cover damage caused by accidents, misuse, or unauthorized modifications."
Can I get a refund if I do not want my device again?,"We do not offer refunds items you are no longer interested in as per our return policy. However, we do offer warranty repairs or replacements if your device is found to be faulty within the warranty period. Please refer to our return policy for more information on our warranty terms and conditions. For more information, you can contact our customer support team via email at customercare.ng@mtn.com or Dial 300 from an MTN line or 08031000300 from any other network for all inquiries."
What are the Requirements for a valid return on eShop?,"If your device is found to be defective within the warranty period, we will repair or replace it (as applicable) free of charge. However, please keep in mind that the warranty does not cover damage caused by accidents, misuse, or unauthorized modifications."
What is MTN?,"MTN is a leading telecommunications company offering voice, data, and digital services in Africa and the Middle East."
Where is MTN headquartered?,"MTN is headquartered in Johannesburg, South Africa."
What is MTN's customer care number?,Dial 180 from an MTN line or 08031000180 from other networks to reach MTN customer care.
What is MTN Pulse?,"MTN Pulse is a prepaid plan offering discounted call rates, data bundles, and exclusive lifestyle benefits."
How do I migrate to MTN Pulse?,Dial *406# to migrate to MTN Pulse.
What is MTN BetaTalk?,MTN BetaTalk gives bonus airtime on recharges of N100 or more and allows discounted calls to all networks.
How can I activate MTN BetaTalk?,Dial *123*2*6# to activate MTN BetaTalk.
What is MTN Data bundle?,MTN Data bundles provide affordable internet access through various data plans suitable for all lifestyles.
How do I subscribe to an MTN Data bundle?,Dial *131# or use the myMTN app to subscribe to an MTN Data bundle.
What is MTN XtraValue?,MTN XtraValue offers combined bundles of voice and data for customers who need both services.
How do I activate MTN XtraValue?,Dial *131*2# and select your preferred XtraValue plan.
What is MTN MoMo?,"MTN MoMo is a mobile money service that facilitates money transfers, bill payments, and other financial transactions."
How can I register for MTN MoMo?,Visit an MTN service center or dial *502# to register for MTN MoMo.
What is the MTN welcome back offer?,"The MTN Welcome Back Offer provides discounts on calls, data, and SMS for inactive subscribers."
How do I check my MTN airtime balance?,Dial *556# to check your airtime balance on MTN.
How do I check my MTN data balance?,Dial *131*4# to check your MTN data balance.
What is MTN Family and Friends?,MTN Family and Friends lets customers enjoy discounted call rates to selected numbers.
How can I add numbers to MTN Family and Friends?,Dial *560*1# to add numbers to MTN Family and Friends.
What is MTN Data Share?,MTN Data Share allows users to share their data bundles with other MTN customers.
How do I activate MTN Data Share?,Dial *131*2# to activate MTN Data Share and follow the prompts.
What is MTN Zigi?,"MTN Zigi is a virtual assistant that helps with inquiries, subscription management, and other MTN services."
How can I access MTN Zigi?,MTN Zigi is available on WhatsApp and the myMTN app.
What is the MTN Night Plan?,The MTN Night Plan offers discounted data bundles for use during nighttime hours.
How can I subscribe to MTN Night Plan?,Dial *406# to subscribe to MTN Night Plan.
What is MTN TopIt?,MTN TopIt is a self-service platform for airtime and data bundle purchases.
How do I access MTN TopIt?,MTN TopIt is accessible through USSD codes or the MTN website.
What is the MTN Data Bonus?,The MTN Data Bonus gives customers extra data on selected bundle purchases.
How do I redeem my MTN Data Bonus?,Your MTN Data Bonus is automatically activated after eligible bundle purchases.
What is MTN's official website?,The official website for MTN is www.mtn.com.
How do I block my MTN line?,Call customer care or dial *180# to block your MTN line if it's stolen or lost.
What is MTN Roaming?,"MTN Roaming allows you to use your line for calls, SMS, and data in other countries."
How can I activate MTN Roaming?,Dial *123# or visit an MTN service center to activate roaming services.
What is MTN SIM Swap?,MTN SIM Swap is a service for replacing a lost or damaged SIM card while retaining your number.
How do I perform an MTN SIM Swap?,Visit an MTN service center with a valid ID to request a SIM Swap.
What is MTN CallerTunez?,MTN CallerTunez allows you to set music or sound as your caller ringtone.
How do I subscribe to MTN CallerTunez?,Dial *410# to subscribe to MTN CallerTunez.
What is MTN ShortCode for Balance Check?,Dial *556# to check your balance on MTN.
What is MTN SME Data Share?,MTN SME Data Share allows businesses to share data bundles with employees or clients.
How do I activate MTN SME Data Share?,Dial *461# and follow the instructions to activate SME Data Share.
What is MTN Auto Renewal?,MTN Auto Renewal renews your data or voice bundle automatically when it expires.
How do I deactivate MTN Auto Renewal?,Send STOP to 131 or dial *131# to manage auto-renewal settings.
What is MTN TruTalk?,MTN TruTalk is a tariff plan offering flat rates for calls across all networks.
How do I migrate to MTN TruTalk?,Dial *123*20# to migrate to MTN TruTalk.
What is MTN Awuf4U?,MTN Awuf4U gives bonus airtime on recharges through specific channels.
How do I activate MTN Awuf4U?,Recharge using *888*PIN# to activate MTN Awuf4U.
What is the MTN Share 'n' Sell?,MTN Share 'n' Sell allows customers to transfer airtime to other MTN users.
How do I use MTN Share 'n' Sell?,Dial *600*Recipient's Number*Amount*PIN# to transfer airtime.
What is MTN EVD?,MTN EVD is an electronic voucher distribution system for airtime recharge.
How can I recharge using MTN EVD?,Purchase a PIN or use electronic recharge through MTN agents.
What is MTN Mobile Internet?,MTN Mobile Internet provides high-speed internet access through 4G LTE and 5G networks.
How can I check MTN coverage in my area?,Visit the MTN website or contact customer care to check coverage in your location.
What is MTN's full name?,MTN stands for Mobile Telecommunications Network.
When was MTN founded?,MTN was founded in 1994.
In how many countries does MTN operate?,MTN operates in over 20 countries across Africa and the Middle East.
What is MTN Yellow Diamond?,"MTN Yellow Diamond is a reward program for loyal customers, offering exclusive benefits."
How can I join MTN Yellow Diamond?,Yellow Diamond membership is by invitation based on usage and loyalty.
What is MTN Home Wi-Fi?,MTN Home Wi-Fi offers high-speed internet for homes and small offices.
How do I set up MTN Home Wi-Fi?,Visit an MTN service center or call customer care for installation assistance.
What is MTN APN?,MTN Access Point Name (APN) settings enable internet access on devices.
How do I configure MTN APN settings?,Go to your device settings and input MTN APN details manually or automatically.
What is MTN Smart Feature Phone?,MTN Smart Feature Phone is an affordable device that combines smartphone and feature phone capabilities.
What is the MTN Loyalty Program?,"The MTN Loyalty Program rewards customers with points for their usage, redeemable for airtime or data."
How do I redeem MTN loyalty points?,Dial *406# to check and redeem your MTN loyalty points.
What is MTN Corporate Plan?,"MTN Corporate Plan provides tailored services for businesses, including data, voice, and cloud solutions."
How can I subscribe to MTN Corporate Plan?,Contact the MTN Enterprise team to subscribe to the MTN Corporate Plan.
What is MTN YouTube Plan?,MTN YouTube Plan offers discounted data bundles for streaming on YouTube.
How do I activate MTN YouTube Plan?,Dial *131*3# and select the YouTube bundle option.
What is MTN MusicTime?,MTN MusicTime provides unlimited music streaming within a specific timeframe.
How do I subscribe to MTN MusicTime?,Dial *123# and follow the prompts to subscribe to MusicTime.
What is MTN Device Financing?,MTN Device Financing allows customers to purchase smartphones in installments.
How can I apply for MTN Device Financing?,Visit an MTN store with a valid ID and meet the eligibility criteria to apply.
What is MTN Caller Protection?,MTN Caller Protection identifies and blocks unwanted calls automatically.
How do I activate MTN Caller Protection?,Dial *123# and follow the prompts to activate MTN Caller Protection.
What is MTN Trade Partner?,MTN Trade Partner program supports businesses selling MTN products and services.
How do I become an MTN Trade Partner?,Visit the MTN website or contact their trade partner support team to apply.
What is MTN Broadband?,MTN Broadband provides high-speed internet for residential and business customers.
What is the MTN SME Value Pack?,MTN SME Value Pack offers customized bundles for small and medium enterprises.
What is MTN Zone?,MTN Zone offers discounted call rates based on your location and time of day.
How do I activate MTN Zone?,Dial *135# to activate MTN Zone on your line.
What is MTN Booster Bundle?,MTN Booster Bundle allows customers to top up their existing data plans with extra data.
How do I purchase an MTN Booster Bundle?,Dial *131# and select the Booster Bundle option.
What is MTN Hybrid Plans?,MTN Hybrid Plans combine postpaid and prepaid services for flexibility.
How can I subscribe to MTN Hybrid Plans?,Contact MTN customer care or visit an MTN store to subscribe.
What is MTN Family Plan?,MTN Family Plan offers shared data and voice bundles for family members.
How do I set up an MTN Family Plan?,Dial *131# and follow the prompts to configure an MTN Family Plan.
What is MTN GlobalConnect?,MTN GlobalConnect provides international connectivity solutions for businesses.
What is MTN Elite Bundle?,MTN Elite Bundle offers premium data and voice services for high-value customers.
How do I subscribe to MTN Elite Bundle?,Dial *131# and select Elite Bundle under the premium plans.
What is MTN International Roaming?,MTN International Roaming allows seamless communication when traveling abroad.
What is MTN Keep My Number?,MTN Keep My Number prevents your SIM from deactivation due to inactivity.
How do I activate MTN Keep My Number?,Dial *365# to activate Keep My Number.
What is MTN Cloud Services?,"MTN Cloud Services provide cloud storage, hosting, and backup solutions for businesses."
How do I access MTN Cloud Services?,Visit the MTN website to sign up for their Cloud Services.
What is MTN E-learning?,MTN E-learning provides online education platforms and resources for students and teachers.
What is MTN Sports Portal?,"MTN Sports Portal offers updates, live scores, and sports content to subscribers."
What is MTN Emergency Airtime?,MTN Emergency Airtime lets you borrow airtime and pay back later.
How do I request MTN Emergency Airtime?,Dial *606# to request Emergency Airtime.
What is MTN Device Insurance?,"MTN Device Insurance covers accidental damage, theft, or loss of your device."
How do I enroll in MTN Device Insurance?,Contact MTN or visit their website for details on enrolling in Device Insurance.
What is MTN Fiber Broadband?,MTN Fiber Broadband delivers high-speed internet through fiber optic technology.
What is MTN Direct Recharge?,MTN Direct Recharge allows customers to recharge airtime directly to their phone without a PIN.
What is MTN Nigeria?,"MTN Nigeria is a subsidiary of the MTN Group, a multinational telecommunications company headquartered in South Africa. It provides mobile network services, data, and other digital solutions to millions of Nigerians."
How can I check my MTN airtime balance?,You can check your MTN airtime balance by dialing *556# or using the myMTN App. The balance will be displayed on your screen immediately.
What is MTN Pulse?,"MTN Pulse is a tariff plan designed for young people, offering affordable call rates, exclusive data bundles, and entertainment subscriptions. It includes perks like Pulse Night bundles and social media data plans."
How do I migrate to MTN Pulse?,"Dial *406# and select ""Pulse"" from the menu or text '406' to 131. Ensure you do not have an active migration restriction before proceeding."
What is MTN XtraValue?,"MTN XtraValue is a plan that bundles airtime and data for customers who want to enjoy both services simultaneously. It includes options for calls, browsing, and international services."
How can I subscribe to MTN XtraValue?,Dial *131# and select XtraValue from the menu or use the myMTN App. You can choose either an XtraTalk plan for more airtime or XtraData for more data.
What is MTN's default PIN for SIM registration?,"MTNís default PIN is usually set to ""0000"" or ""1234"". It is advisable to change this PIN to secure your SIM against unauthorized use."
How do I change my MTN PIN?,Dial 1215# to access the security settings menu. Follow the prompts to change your default PIN to a personalized one.
What is the MTN YouTube Night Plan?,"MTN YouTube Night Plan allows users to stream videos on YouTube at discounted rates during nighttime hours, typically between 11 PM and 6 AM."
How do I activate the MTN YouTube Night Plan?,Dial *131# and select the YouTube Night Plan from the data menu or activate it using the myMTN App.
What is MTN SME Data Share?,"MTN SME Data Share allows businesses to purchase data in bulk and share it with employees, colleagues, or family members. It is ideal for organizations looking to manage their data resources efficiently."
How can I share data using MTN SME Data Share?,"Dial *461# and select the ""Share Data"" option. Enter the recipient's phone number and specify the data volume to share."
What is the MTN Data Gifting service?,MTN Data Gifting allows customers to purchase data bundles and send them directly to other MTN users as a gift.
How do I send data using MTN Data Gifting?,"Dial 1317# and follow the prompts to gift data to a friend or family member. Alternatively, you can use the myMTN App for this purpose."
What is MTN mPulse?,"MTN mPulse is a platform designed for kids and teenagers. It offers educational resources, fun games, and special data bundles to encourage learning and creativity in young users."
How can I activate MTN mPulse?,"To migrate to the mPulse plan, dial 3441# or send 'mPulse' to 131. Parents can also activate parental control features on the platform."
What is MTN Welcome Back?,MTN Welcome Back is a program that allows customers to reactivate dormant or inactive SIM cards and enjoy bonus airtime or data rewards for returning to the network.
How do I reactivate my dormant MTN SIM card?,Insert your dormant SIM card into your phone and recharge with a specified amount to qualify for Welcome Back bonuses. Contact MTN customer care for further assistance.
What is MTN MoMo?,"MTN MoMo (Mobile Money) is a digital financial service that allows users to send, receive, and store money using their mobile devices. It also supports bill payments and airtime top-ups."
How can I register for MTN MoMo?,"Visit an MTN service center with a valid ID or download the MoMo app. Alternatively, dial *671# and follow the registration prompts."
What is MTN Magic Voice?,"MTN Magic Voice is a fun service that allows users to change their voice during a phone call to mimic different characters or personalities, providing an entertaining call experience."
How do I activate MTN Magic Voice?,Dial 700 and follow the voice prompts to select your preferred voice type and enjoy the Magic Voice service.
What is MTN CallerFeel?,"MTN CallerFeel allows customers to display personalized messages for their callers. These messages can be inspirational quotes, status updates, or promotional content for businesses."
How do I set up MTN CallerFeel?,Dial *500# to access the CallerFeel menu and create your personalized message. You can also manage your messages via the myMTN App.
What is MTN International Calling Bundle?,MTN International Calling Bundle offers discounted call rates to specific international destinations. It is suitable for customers who make frequent international calls.
How do I subscribe to MTN International Calling Bundle?,"Dial *131# and select ""International Bundles"" from the menu. Choose a bundle that suits your needs."
What is MTN Family and Friends?,MTN Family and Friends allows customers to register up to 5 numbers to enjoy discounted call rates when calling these specific contacts.
How do I add a number to MTN Family and Friends?,Dial *560# to register or manage your Family and Friends numbers. Ensure you are on a compatible tariff plan.
What is MTN XtraTime?,"MTN XtraTime allows customers to borrow airtime when they run out, with the borrowed amount deducted from their next recharge."
How do I borrow airtime using MTN XtraTime?,Dial *606# and follow the prompts to borrow airtime. Eligibility depends on your usage history and recharge frequency.
What is MTN Roaming Service?,"MTN Roaming Service allows customers to use their mobile phones for calls, texts, and internet access while traveling abroad."
How do I activate MTN Roaming Service?,Ensure your line is pre-activated for roaming by visiting an MTN store or contacting customer care. Dial *123# for roaming bundle options.
What is MTN MyTunes?,MTN MyTunes is a caller ring-back tone service that allows customers to personalize the music or messages their callers hear instead of the standard ringing tone.
How do I activate MTN MyTunes?,Dial *410# to browse and select your preferred tunes. You can also manage your tunes via the myMTN App.
What is MTN Mobile TV?,"MTN Mobile TV offers live streaming of TV channels and video content directly on mobile devices. It provides entertainment, news, sports, and educational programs."
How do I access MTN Mobile TV?,Dial *123# to subscribe to Mobile TV services or use the MTN Mobile TV app available for download.
What is MTN Yellow Diamond?,"MTN Yellow Diamond is a premium service designed for high-value customers, offering exclusive benefits like priority customer care, customized offers, and special invites to events."
How do I qualify for MTN Yellow Diamond?,Qualification is based on your airtime and data usage history. MTN contacts eligible customers directly to invite them to the Yellow Diamond program.
What is MTN Data4Me?,MTN Data4Me offers personalized data bundles tailored to individual customers based on their usage patterns and preferences.
How do I subscribe to MTN Data4Me?,Dial 1311# or visit the myMTN App to view and activate personalized Data4Me offers.
What is MTN Auto-Renewal?,"MTN Auto-Renewal ensures that your active data plan is automatically renewed when it expires, provided you have sufficient airtime balance."
How do I enable MTN Auto-Renewal?,Dial 1311# to activate auto-renewal when subscribing to a data plan. You can also manage this feature on the myMTN App.
What is MTN Social Bundle?,"MTN Social Bundle offers affordable data plans specifically for social media platforms like Facebook, WhatsApp, Instagram, and Twitter."
How do I activate MTN Social Bundle?,Dial 1313# and select your preferred social media bundle from the options provided.
What is MTN StartPack?,"MTN StartPack is a special tariff plan for new customers, offering bonus airtime and data for calls, browsing, and text messages within the first six months of activation."
How do I migrate to MTN StartPack?,"New MTN SIM cards are pre-activated on the StartPack plan. For assistance, visit any MTN service center or contact customer care."
What is MTN Back-Up Service?,"MTN Back-Up Service securely stores your contacts and important data in the cloud, allowing you to retrieve them anytime, even if your device is lost or damaged."
How do I activate MTN Back-Up Service?,Dial *305# or access the back-up service via the myMTN App. Follow the prompts to set up your account and start syncing your data.
What is MTN Jara?,"MTN Jara is a value-added service that rewards customers with bonuses on every recharge, allowing them to enjoy extra airtime or data at no additional cost."
How do I opt into MTN Jara?,Dial *131# and select Jara from the menu or recharge using 555PIN#. The bonus will be automatically credited to your account.
What is MTN KYC Verification?,"MTN KYC (Know Your Customer) Verification is a regulatory process where customersí identities are confirmed using valid identification documents like a National ID, Passport, or Driverís License."
How do I update my MTN KYC details?,Visit any MTN service center with your valid ID and follow the verification process to update your records.
What is MTN BizPlus?,"MTN BizPlus is a business-focused service offering discounted call rates, bulk SMS options, and flexible data plans for small and medium-sized enterprises (SMEs)."
How do I subscribe to MTN BizPlus?,Contact the MTN business team or dial 1315# to activate a suitable BizPlus package for your business needs.
What is MTN Play?,"MTN Play is an entertainment platform that offers music, games, videos, and sports content to MTN users."
How do I access MTN Play?,Visit the MTN Play website at play.mtnonline.com or download the MTN Play app for quick access to entertainment options.
What is MTN Home Broadband?,"MTN Home Broadband provides high-speed internet solutions for homes using 4G and 5G routers, ensuring seamless connectivity for multiple devices."
How do I subscribe to MTN Home Broadband?,Visit an MTN service center or call customer care to purchase a router and choose a suitable broadband plan.
What is MTN Smart Number?,"MTN Smart Number is a premium service that allows customers to choose memorable phone numbers for personal or business use, making it easier for people to remember their contact details."
How do I get an MTN Smart Number?,Visit an MTN service center and inquire about available Smart Numbers. You may need to pay a premium for certain categories of numbers.
What is MTN Free Basics?,"MTN Free Basics offers free access to select websites and online services, promoting digital inclusion by enabling users to browse educational and health-related platforms without data charges."
How do I access MTN Free Basics?,Visit www.freebasics.com using your MTN SIM card to enjoy free access to participating websites.
What is MTN Do Not Disturb (DND)?,MTN Do Not Disturb (DND) is a service that allows customers to block unsolicited marketing messages and calls from third-party providers.
How do I activate MTN DND?,"Send ""STOP"" to 2442 to activate full DND or ""ALLOW"" to 2442 for partial DND, depending on your preference."
What is MTN Data Rollover?,MTN Data Rollover ensures that unused data from an active bundle is carried over to the next subscription period if renewed before expiration.
How do I activate MTN Data Rollover?,"Simply renew your current data plan before its expiration, and the unused data will automatically roll over."
What is MTN Pay4Me?,MTN Pay4Me allows a caller to initiate a call and have the recipient agree to pay for the call charges.
How do I use MTN Pay4Me?,"Dial the recipient's number with ""121"" as a prefix, e.g., 1210803XXXXXXX. The recipient will be prompted to accept the charges before the call connects."
What is MTN HynetFlex?,"MTN HynetFlex is a high-speed broadband service designed for homes and businesses, offering flexible data plans and reliable connectivity."
How do I subscribe to MTN HynetFlex?,Visit the MTN HynetFlex website or an MTN service center to choose a suitable plan and purchase the required device.
What is MTN Group?,"MTN Group is a leading telecommunications company operating in multiple countries across Africa and the Middle East, providing mobile, data, and digital solutions."
When was MTN Nigeria established?,"MTN Nigeria was established in 2001 and has since grown to become one of the largest telecom operators in the country, serving millions of subscribers."
